day,hour,precinct,traffic
0,0,1,1000
0,0,5,24153
0,0,6,65989
0,0,7,10810
0,0,9,40202
0,0,10,24735
0,0,13,42836
0,0,14,78088
0,0,17,48117
0,0,18,61975
0,0,19,24861
0,0,20,16547
0,0,22,3353
0,0,23,5754
0,0,24,10576
0,0,25,2043
0,0,26,3194
0,0,28,2652
0,0,30,1542
0,0,32,1111
0,0,33,1283
0,0,34,829
0,0,40,365
0,0,41,31
0,0,42,26
0,0,43,64
0,0,44,161
0,0,45,33
0,0,46,96
0,0,47,29
0,0,48,12
0,0,49,42
0,0,50,75
0,0,52,35
0,0,60,26
0,0,61,29
0,0,62,41
0,0,63,52
0,0,66,55
0,0,67,32
0,0,68,95
0,0,69,8
0,0,70,367
0,0,71,461
0,0,72,207
0,0,73,105
0,0,75,58
0,0,76,1113
0,0,77,904
0,0,78,3809
0,0,79,809
0,0,81,921
0,0,83,802
0,0,84,5623
0,0,88,2791
0,0,90,10452
0,0,94,6030
0,0,100,10
0,0,101,5
0,0,102,261
0,0,103,117
0,0,104,159
0,0,105,21
0,0,106,47
0,0,107,115
0,0,108,5021
0,0,109,111
0,0,110,879
0,0,111,44
0,0,112,508
0,0,113,29532
0,0,114,5302
0,0,115,19746
0,0,120,40
0,0,122,7
0,0,123,15
0,1,1,12946
0,1,5,14081
0,1,6,46588
0,1,7,7551
0,1,9,28065
0,1,10,16236
0,1,13,24795
0,1,14,44153
0,1,17,28916
0,1,18,37392
0,1,19,12872
0,1,20,9656
0,1,22,1602
0,1,23,3376
0,1,24,6476
0,1,25,1490
0,1,26,2066
0,1,28,1795
0,1,30,1003
0,1,32,763
0,1,33,721
0,1,34,439
0,1,40,271
0,1,41,32
0,1,42,21
0,1,43,44
0,1,44,91
0,1,45,19
0,1,46,97
0,1,47,25
0,1,48,26
0,1,49,22
0,1,50,53
0,1,52,48
0,1,60,7
0,1,61,39
0,1,62,20
0,1,63,42
0,1,66,59
0,1,67,49
0,1,68,78
0,1,69,18
0,1,70,238
0,1,71,442
0,1,72,161
0,1,73,110
0,1,75,65
0,1,76,662
0,1,77,738
0,1,78,2397
0,1,79,633
0,1,81,780
0,1,83,676
0,1,84,3288
0,1,88,1523
0,1,90,7579
0,1,94,4258
0,1,100,1
0,1,101,6
0,1,102,187
0,1,103,55
0,1,104,119
0,1,105,9
0,1,106,38
0,1,107,82
0,1,108,4247
0,1,109,88
0,1,110,937
0,1,111,34
0,1,112,254
0,1,113,12176
0,1,114,4376
0,1,115,3185
0,1,120,40
0,1,122,9
0,1,123,5
0,2,1,7527
0,2,5,9465
0,2,6,35757
0,2,7,5382
0,2,9,20260
0,2,10,13348
0,2,13,15148
0,2,14,27982
0,2,17,17388
0,2,18,24893
0,2,19,7963
0,2,20,4907
0,2,22,741
0,2,23,2170
0,2,24,4049
0,2,25,940
0,2,26,1381
0,2,28,1112
0,2,30,723
0,2,32,516
0,2,33,502
0,2,34,231
0,2,40,191
0,2,41,27
0,2,42,23
0,2,43,42
0,2,44,56
0,2,45,8
0,2,46,44
0,2,47,22
0,2,48,11
0,2,49,23
0,2,50,31
0,2,52,16
0,2,60,5
0,2,61,37
0,2,62,11
0,2,63,50
0,2,66,57
0,2,67,44
0,2,68,65
0,2,69,8
0,2,70,223
0,2,71,216
0,2,72,99
0,2,73,65
0,2,75,48
0,2,76,397
0,2,77,401
0,2,78,1477
0,2,79,425
0,2,81,620
0,2,83,474
0,2,84,1836
0,2,88,1011
0,2,90,5961
0,2,94,3093
0,2,100,2
0,2,101,8
0,2,102,62
0,2,103,41
0,2,104,50
0,2,105,10
0,2,106,44
0,2,107,29
0,2,108,3367
0,2,109,102
0,2,110,904
0,2,111,4
0,2,112,221
0,2,113,3844
0,2,114,3390
0,2,115,1199
0,2,120,32
0,2,122,3
0,2,123,1
0,3,1,4875
0,3,5,6185
0,3,6,25847
0,3,7,3562
0,3,9,14693
0,3,10,10273
0,3,13,9886
0,3,14,15284
0,3,17,11346
0,3,18,19290
0,3,19,5502
0,3,20,3175
0,3,22,540
0,3,23,1814
0,3,24,3043
0,3,25,818
0,3,26,1035
0,3,28,745
0,3,30,475
0,3,32,369
0,3,33,306
0,3,34,126
0,3,40,140
0,3,41,33
0,3,42,11
0,3,43,25
0,3,44,84
0,3,45,11
0,3,46,69
0,3,47,19
0,3,48,9
0,3,49,13
0,3,50,10
0,3,52,39
0,3,60,7
0,3,61,9
0,3,62,22
0,3,63,25
0,3,66,46
0,3,67,18
0,3,68,23
0,3,69,14
0,3,70,107
0,3,71,192
0,3,72,88
0,3,73,43
0,3,75,21
0,3,76,299
0,3,77,239
0,3,78,765
